# LTspice XVII Transient Analysis — Config 1 (Gain=10)
# f_input=1 kHz  Vin_amp=100 mV  Supply=±15 V
# NOTE: Simulation-derived data, not physical measurement.
Time_s,Vin_V,Vout_V
0.000126,0.071154,7.117189
0.000127,0.071594,7.156712
0.000128,0.072031,7.203152
0.000129,0.072465,7.245563
0.00013,0.072897,7.289031
0.000131,0.073326,7.334559
0.000132,0.073751,7.376207
0.000133,0.074174,7.420093
0.000134,0.074594,7.459102
0.000135,0.075011,7.499719
0.000136,0.075425,7.542066
0.000137,0.075836,7.584104
0.000138,0.076244,7.624778
0.000139,0.076649,7.662761
0.00014,0.077051,7.705313
0.000141,0.07745,7.745487
0.000142,0.077846,7.789658
0.000143,0.078239,7.827662
0.000144,0.078629,7.861178
0.000145,0.079016,7.900975
0.000146,0.079399,7.936977
0.000147,0.079779,7.976763
0.000148,0.080157,8.016301
0.000149,0.080531,8.055491
0.00015,0.080902,8.088712
0.000151,0.081269,8.125633
0.000152,0.081634,8.159098
0.000153,0.081995,8.199196
0.000154,0.082353,8.233201
0.000155,0.082708,8.269747
0.000156,0.08306,8.304205
0.000157,0.083408,8.340596
0.000158,0.083753,8.371765
0.000159,0.084094,8.406512
0.00016,0.084433,8.447538
0.000161,0.084768,8.474205
0.000162,0.085099,8.507751
0.000163,0.085428,8.546448
0.000164,0.085753,8.581077
0.000165,0.086074,8.605077
0.000166,0.086392,8.638498
0.000167,0.086707,8.67139
0.000168,0.087018,8.705295
0.000169,0.087326,8.730651
0.00017,0.087631,8.762576
0.000171,0.087932,8.794718
0.000172,0.088229,8.823782
0.000173,0.088523,8.851561
0.000174,0.088814,8.881097
0.000175,0.089101,8.907315
0.000176,0.089384,8.937938
0.000177,0.089664,8.965878
0.000178,0.089941,8.994517
0.000179,0.090213,9.020229
0.00018,0.090483,9.049214
0.000181,0.090748,9.07687
0.000182,0.091011,9.101371
0.000183,0.091269,9.127619
0.000184,0.091524,9.152518
0.000185,0.091775,9.177546
0.000186,0.092023,9.200875
0.000187,0.092267,9.22736
0.000188,0.092508,9.250577
0.000189,0.092745,9.278638
0.00019,0.092978,9.300912
0.000191,0.093207,9.321483
0.000192,0.093433,9.341763
0.000193,0.093655,9.363274
0.000194,0.093873,9.389721
0.000195,0.094088,9.409333
0.000196,0.094299,9.430866
0.000197,0.094506,9.447142
0.000198,0.09471,9.472838
0.000199,0.09491,9.49187
0.0002,0.095106,9.508344
0.000201,0.095298,9.52885
0.000202,0.095486,9.549173
0.000203,0.095671,9.567225
0.000204,0.095852,9.584634
0.000205,0.096029,9.60273
0.000206,0.096203,9.619773
0.000207,0.096372,9.637542
0.000208,0.096538,9.656759
0.000209,0.0967,9.664882
0.00021,0.096858,9.685358
0.000211,0.097013,9.701619
0.000212,0.097163,9.716909
0.000213,0.09731,9.730241
0.000214,0.097453,9.741755
0.000215,0.097592,9.759824
0.000216,0.097727,9.776136
0.000217,0.097858,9.782741
0.000218,0.097986,9.800278
0.000219,0.098109,9.810248
0.00022,0.098229,9.82275
0.000221,0.098345,9.832346
0.000222,0.098456,9.844974
0.000223,0.098564,9.859046
0.000224,0.098669,9.868025
0.000225,0.098769,9.880348
0.000226,0.098865,9.888872
0.000227,0.098958,9.896639
0.000228,0.099046,9.908102
0.000229,0.099131,9.913954
0.00023,0.099211,9.922803
0.000231,0.099288,9.928233
0.000232,0.099361,9.936246
0.000233,0.09943,9.941613
0.000234,0.099495,9.951489
0.000235,0.099556,9.953263
0.000236,0.099613,9.962901
0.000237,0.099667,9.966278
0.000238,0.099716,9.973931
0.000239,0.099761,9.977627
0.00024,0.099803,9.983909
0.000241,0.09984,9.985477
0.000242,0.099874,9.984225
0.000243,0.099903,9.990195
0.000244,0.099929,9.990551
0.000245,0.099951,9.994029
0.000246,0.099968,9.999864
0.000247,0.099982,9.999499
0.000248,0.099992,9.997813
0.000249,0.099998,9.997775
0.00025,0.1,10.000066
0.000251,0.099998,9.997369
0.000252,0.099992,9.997868
0.000253,0.099982,9.998848
0.000254,0.099968,9.999153
0.000255,0.099951,9.996283
0.000256,0.099929,9.988312
0.000257,0.099903,9.990938
0.000258,0.099874,9.987514
0.000259,0.09984,9.984843
0.00026,0.099803,9.9835
0.000261,0.099761,9.971999
0.000262,0.099716,9.970407
0.000263,0.099667,9.967841
0.000264,0.099613,9.958173
0.000265,0.099556,9.958572
0.000266,0.099495,9.950247
0.000267,0.09943,9.944701
0.000268,0.099361,9.934971
0.000269,0.099288,9.930454
0.00027,0.099211,9.923284
0.000271,0.099131,9.913542
0.000272,0.099046,9.905083
0.000273,0.098958,9.896302
0.000274,0.098865,9.884791
0.000275,0.098769,9.876588
0.000276,0.098669,9.866554
0.000277,0.098564,9.857213
0.000278,0.098456,9.847643
0.000279,0.098345,9.832335
0.00028,0.098229,9.822622
0.000281,0.098109,9.813868
0.000282,0.097986,9.797063
0.000283,0.097858,9.784165
0.000284,0.097727,9.773086
0.000285,0.097592,9.760856
0.000286,0.097453,9.745292
0.000287,0.09731,9.733643
0.000288,0.097163,9.718031
0.000289,0.097013,9.70295
0.00029,0.096858,9.68694
0.000291,0.0967,9.67467
0.000292,0.096538,9.653406
0.000293,0.096372,9.63323
0.000294,0.096203,9.623485
0.000295,0.096029,9.602021
0.000296,0.095852,9.585434
0.000297,0.095671,9.56974
0.000298,0.095486,9.545441
0.000299,0.095298,9.52729
0.0003,0.095106,9.507363
0.000301,0.09491,9.489373
0.000302,0.09471,9.471862
0.000303,0.094506,9.451679
0.000304,0.094299,9.430458
0.000305,0.094088,9.405982
0.000306,0.093873,9.382718
0.000307,0.093655,9.365608
0.000308,0.093433,9.342346
0.000309,0.093207,9.32163
0.00031,0.092978,9.299169
0.000311,0.092745,9.274728
0.000312,0.092508,9.252292
0.000313,0.092267,9.227186
0.000314,0.092023,9.203379
0.000315,0.091775,9.176137
0.000316,0.091524,9.152053
0.000317,0.091269,9.127309
0.000318,0.091011,9.102701
0.000319,0.090748,9.074057
0.00032,0.090483,9.049313
0.000321,0.090213,9.020808
0.000322,0.089941,8.993817
0.000323,0.089664,8.968069
0.000324,0.089384,8.934428
0.000325,0.089101,8.907472
0.000326,0.088814,8.8784
0.000327,0.088523,8.847646
0.000328,0.088229,8.821556
0.000329,0.087932,8.794662
0.00033,0.087631,8.762497
0.000331,0.087326,8.73302
0.000332,0.087018,8.704016
0.000333,0.086707,8.673362
0.000334,0.086392,8.639096
0.000335,0.086074,8.610127
0.000336,0.085753,8.575451
0.000337,0.085428,8.5411
0.000338,0.085099,8.508756
0.000339,0.084768,8.473818
0.00034,0.084433,8.441503
0.000341,0.084094,8.40873
0.000342,0.083753,8.376888
0.000343,0.083408,8.344226
0.000344,0.08306,8.303195
0.000345,0.082708,8.271591
0.000346,0.082353,8.233245
0.000347,0.081995,8.20047
0.000348,0.081634,8.16313
0.000349,0.081269,8.12328
0.00035,0.080902,8.092027
0.000351,0.080531,8.051869
0.000352,0.080157,8.014602
0.000353,0.079779,7.975805
0.000354,0.079399,7.938595
0.000355,0.079016,7.902406
0.000356,0.078629,7.862506
0.000357,0.078239,7.824565
0.000358,0.077846,7.785347
0.000359,0.07745,7.747672
0.00036,0.077051,7.704447
0.000361,0.076649,7.661976
0.000362,0.076244,7.62656
0.000363,0.075836,7.582956
0.000364,0.075425,7.544743
0.000365,0.075011,7.501877
0.000366,0.074594,7.459149
0.000367,0.074174,7.418115
0.000368,0.073751,7.379033
0.000369,0.073326,7.336707
0.00037,0.072897,7.289825
0.000371,0.072465,7.246852
0.000372,0.072031,7.205243
0.000373,0.071594,7.157674
0.000374,0.071154,7.116023
0.000375,0.070711,7.071016
0.000376,0.070265,7.027128
0.000377,0.069817,6.979987
0.000378,0.069365,6.933354
0.000379,0.068911,6.886992
0.00038,0.068455,6.843236
0.000381,0.067995,6.798616
0.000382,0.067533,6.752742
0.000383,0.067069,6.71073
0.000384,0.066601,6.662331
0.000385,0.066131,6.611194
0.000386,0.065659,6.566553
0.000387,0.065183,6.517523
0.000388,0.064706,6.469991
0.000389,0.064225,6.422897
0.00039,0.063742,6.375478
0.000391,0.063257,6.325023
0.000392,0.062769,6.279041
0.000393,0.062279,6.225594
0.000394,0.061786,6.178609
0.000395,0.061291,6.134266
0.000396,0.060793,6.079749
0.000397,0.060293,6.032162
0.000398,0.05979,5.979233
0.000399,0.059286,5.92973
0.0004,0.058779,5.877739
0.000401,0.058269,5.826564
0.000402,0.057757,5.774168
0.000403,0.057243,5.725182
0.000404,0.056727,5.670986
0.000405,0.056208,5.622165
0.000406,0.055688,5.570927
0.000407,0.055165,5.517192
0.000408,0.054639,5.463371
0.000409,0.054112,5.41212
0.00041,0.053583,5.357651
0.000411,0.053051,5.306983
0.000412,0.052517,5.248083
0.000413,0.051982,5.197502
0.000414,0.051444,5.140414
0.000415,0.050904,5.087424
0.000416,0.050362,5.03896
0.000417,0.049819,4.983641
0.000418,0.049273,4.925834
0.000419,0.048725,4.869496
0.00042,0.048175,4.811608
0.000421,0.047624,4.761295
0.000422,0.04707,4.71188
0.000423,0.046515,4.652381
0.000424,0.045958,4.594679
0.000425,0.045399,4.540835
0.000426,0.044838,4.48071
0.000427,0.044276,4.426988
0.000428,0.043712,4.371357
0.000429,0.043146,4.314388
0.00043,0.042578,4.259375
0.000431,0.042009,4.201547
0.000432,0.041438,4.145092
0.000433,0.040865,4.085114
0.000434,0.040291,4.03086
0.000435,0.039715,3.974737
0.000436,0.039137,3.911796
0.000437,0.038558,3.854065
0.000438,0.037978,3.800463
0.000439,0.037396,3.739209
0.00044,0.036812,3.684053
0.000441,0.036228,3.621869
0.000442,0.035641,3.567029
0.000443,0.035053,3.505606
0.000444,0.034464,3.446946
0.000445,0.033874,3.390509
0.000446,0.033282,3.327472
0.000447,0.032689,3.266998
0.000448,0.032094,3.208539
0.000449,0.031499,3.15077
0.00045,0.030902,3.087038
0.000451,0.030304,3.031628
0.000452,0.029704,2.969338
0.000453,0.029104,2.912657
0.000454,0.028502,2.845404
0.000455,0.027899,2.788338
0.000456,0.027295,2.726146
0.000457,0.02669,2.667367
0.000458,0.026084,2.60891
0.000459,0.025477,2.547349
0.00046,0.024869,2.486392
0.000461,0.02426,2.425674
0.000462,0.02365,2.365397
0.000463,0.023039,2.301877
0.000464,0.022427,2.244121
0.000465,0.021814,2.182758
0.000466,0.021201,2.120841
0.000467,0.020586,2.059739
0.000468,0.019971,1.997693
0.000469,0.019355,1.939565
0.00047,0.018738,1.873639
0.000471,0.018121,1.811443
0.000472,0.017502,1.748724
0.000473,0.016883,1.68627
0.000474,0.016264,1.623883
0.000475,0.015643,1.562567
0.000476,0.015023,1.502115
0.000477,0.014401,1.440776
0.000478,0.013779,1.378005
0.000479,0.013156,1.314113
0.00048,0.012533,1.255133
0.000481,0.01191,1.19245
0.000482,0.011286,1.128245
0.000483,0.010661,1.064806
0.000484,0.010036,1.004714
0.000485,0.009411,0.941459
0.000486,0.008785,0.875616
0.000487,0.008159,0.81577
0.000488,0.007533,0.753792
0.000489,0.006906,0.688801
0.00049,0.006279,0.628285
0.000491,0.005652,0.562276
0.000492,0.005024,0.505116
0.000493,0.004397,0.442177
0.000494,0.003769,0.376397
0.000495,0.003141,0.314834
0.000496,0.002513,0.246481
0.000497,0.001885,0.186172
0.000498,0.001257,0.125073
0.000499,0.000628,0.060687
0.0005,0.0,0.001429
0.000501,-0.000628,-0.058837
0.000502,-0.001257,-0.128014
0.000503,-0.001885,-0.190159
0.000504,-0.002513,-0.25083
0.000505,-0.003141,-0.310885
0.000506,-0.003769,-0.379347
0.000507,-0.004397,-0.439183
0.000508,-0.005024,-0.498801
0.000509,-0.005652,-0.568489
0.00051,-0.006279,-0.630467
0.000511,-0.006906,-0.691447
0.000512,-0.007533,-0.754309
0.000513,-0.008159,-0.814281
0.000514,-0.008785,-0.878029
0.000515,-0.009411,-0.944633
0.000516,-0.010036,-1.002586
0.000517,-0.010661,-1.067267
0.000518,-0.011286,-1.126015
0.000519,-0.01191,-1.192227
0.00052,-0.012533,-1.254606
0.000521,-0.013156,-1.314561
0.000522,-0.013779,-1.376377
0.000523,-0.014401,-1.439212
0.000524,-0.015023,-1.505627
0.000525,-0.015643,-1.563269
0.000526,-0.016264,-1.62844
0.000527,-0.016883,-1.687864
0.000528,-0.017502,-1.753078
0.000529,-0.018121,-1.811165
0.00053,-0.018738,-1.875426
0.000531,-0.019355,-1.93806
0.000532,-0.019971,-1.995672
0.000533,-0.020586,-2.058143
0.000534,-0.021201,-2.121299
0.000535,-0.021814,-2.17853
0.000536,-0.022427,-2.243589
0.000537,-0.023039,-2.30383
0.000538,-0.02365,-2.364452
0.000539,-0.02426,-2.427232
0.00054,-0.024869,-2.485957
0.000541,-0.025477,-2.548774
0.000542,-0.026084,-2.609238
0.000543,-0.02669,-2.666295
0.000544,-0.027295,-2.731601
0.000545,-0.027899,-2.794737
0.000546,-0.028502,-2.846971
0.000547,-0.029104,-2.905263
0.000548,-0.029704,-2.971226
0.000549,-0.030304,-3.034226
0.00055,-0.030902,-3.090791
0.000551,-0.031499,-3.150438
0.000552,-0.032094,-3.209816
0.000553,-0.032689,-3.271107
0.000554,-0.033282,-3.327036
0.000555,-0.033874,-3.38633
0.000556,-0.034464,-3.449418
0.000557,-0.035053,-3.503945
0.000558,-0.035641,-3.560013
0.000559,-0.036228,-3.62241
0.00056,-0.036812,-3.68192
0.000561,-0.037396,-3.739876
0.000562,-0.037978,-3.79656
0.000563,-0.038558,-3.859301
0.000564,-0.039137,-3.913408
0.000565,-0.039715,-3.97226
0.000566,-0.040291,-4.025369
0.000567,-0.040865,-4.086839
0.000568,-0.041438,-4.14042
0.000569,-0.042009,-4.203065
0.00057,-0.042578,-4.256618
0.000571,-0.043146,-4.313922
0.000572,-0.043712,-4.372896
0.000573,-0.044276,-4.427228
0.000574,-0.044838,-4.481407
0.000575,-0.045399,-4.540553
0.000576,-0.045958,-4.599183
0.000577,-0.046515,-4.651546
0.000578,-0.04707,-4.708844
0.000579,-0.047624,-4.763067
0.00058,-0.048175,-4.8177
0.000581,-0.048725,-4.875913
0.000582,-0.049273,-4.930505
0.000583,-0.049819,-4.980887
0.000584,-0.050362,-5.037277
0.000585,-0.050904,-5.095544
0.000586,-0.051444,-5.142826
0.000587,-0.051982,-5.197629
0.000588,-0.052517,-5.253174
0.000589,-0.053051,-5.307746
0.00059,-0.053583,-5.356596
0.000591,-0.054112,-5.410514
0.000592,-0.054639,-5.459178
0.000593,-0.055165,-5.515618
0.000594,-0.055688,-5.567981
0.000595,-0.056208,-5.621168
0.000596,-0.056727,-5.671056
0.000597,-0.057243,-5.723071
0.000598,-0.057757,-5.773224
0.000599,-0.058269,-5.827947
0.0006,-0.058779,-5.878723
0.000601,-0.059286,-5.929526
0.000602,-0.05979,-5.977468
0.000603,-0.060293,-6.026299
0.000604,-0.060793,-6.080221
0.000605,-0.061291,-6.12992
0.000606,-0.061786,-6.177968
0.000607,-0.062279,-6.228369
0.000608,-0.062769,-6.27501
0.000609,-0.063257,-6.330205
0.00061,-0.063742,-6.375893
0.000611,-0.064225,-6.424091
0.000612,-0.064706,-6.4752
0.000613,-0.065183,-6.520265
0.000614,-0.065659,-6.567688
0.000615,-0.066131,-6.613521
0.000616,-0.066601,-6.657893
0.000617,-0.067069,-6.707346
0.000618,-0.067533,-6.75539
0.000619,-0.067995,-6.799648
0.00062,-0.068455,-6.843373
0.000621,-0.068911,-6.89309
0.000622,-0.069365,-6.938354
0.000623,-0.069817,-6.980537
0.000624,-0.070265,-7.026943
0.000625,-0.070711,-7.069773
0.000626,-0.071154,-7.115384
0.000627,-0.071594,-7.157962
0.000628,-0.072031,-7.20516
0.000629,-0.072465,-7.246555
0.00063,-0.072897,-7.290108
0.000631,-0.073326,-7.334985
0.000632,-0.073751,-7.378258
0.000633,-0.074174,-7.416046
0.000634,-0.074594,-7.460113
0.000635,-0.075011,-7.503155
0.000636,-0.075425,-7.542706
0.000637,-0.075836,-7.581363
0.000638,-0.076244,-7.628987
0.000639,-0.076649,-7.667923
0.00064,-0.077051,-7.706978
0.000641,-0.07745,-7.742108
0.000642,-0.077846,-7.784058
0.000643,-0.078239,-7.822373
0.000644,-0.078629,-7.865165
0.000645,-0.079016,-7.903789
0.000646,-0.079399,-7.939008
0.000647,-0.079779,-7.977828
0.000648,-0.080157,-8.014572
0.000649,-0.080531,-8.053454
0.00065,-0.080902,-8.089614
0.000651,-0.081269,-8.126625
0.000652,-0.081634,-8.161837
0.000653,-0.081995,-8.197907
0.000654,-0.082353,-8.238566
0.000655,-0.082708,-8.2753
0.000656,-0.08306,-8.303956
0.000657,-0.083408,-8.338409
0.000658,-0.083753,-8.377322
0.000659,-0.084094,-8.413165
0.00066,-0.084433,-8.443081
0.000661,-0.084768,-8.474918
0.000662,-0.085099,-8.50635
0.000663,-0.085428,-8.541742
0.000664,-0.085753,-8.57601
0.000665,-0.086074,-8.609207
0.000666,-0.086392,-8.639211
0.000667,-0.086707,-8.671306
0.000668,-0.087018,-8.703868
0.000669,-0.087326,-8.728527
0.00067,-0.087631,-8.759496
0.000671,-0.087932,-8.790891
0.000672,-0.088229,-8.824754
0.000673,-0.088523,-8.850603
0.000674,-0.088814,-8.880085
0.000675,-0.089101,-8.90918
0.000676,-0.089384,-8.935915
0.000677,-0.089664,-8.96514
0.000678,-0.089941,-8.992572
0.000679,-0.090213,-9.020066
0.00068,-0.090483,-9.047589
0.000681,-0.090748,-9.078411
0.000682,-0.091011,-9.100892
0.000683,-0.091269,-9.128028
0.000684,-0.091524,-9.154971
0.000685,-0.091775,-9.174183
0.000686,-0.092023,-9.19886
0.000687,-0.092267,-9.224009
0.000688,-0.092508,-9.250262
0.000689,-0.092745,-9.27175
0.00069,-0.092978,-9.297741
0.000691,-0.093207,-9.320306
0.000692,-0.093433,-9.345476
0.000693,-0.093655,-9.364705
0.000694,-0.093873,-9.387218
0.000695,-0.094088,-9.411413
0.000696,-0.094299,-9.430008
0.000697,-0.094506,-9.45079
0.000698,-0.09471,-9.467388
0.000699,-0.09491,-9.489173
0.0007,-0.095106,-9.510542
0.000701,-0.095298,-9.529296
0.000702,-0.095486,-9.548557
0.000703,-0.095671,-9.567526
0.000704,-0.095852,-9.587383
0.000705,-0.096029,-9.603239
0.000706,-0.096203,-9.621769
0.000707,-0.096372,-9.639737
0.000708,-0.096538,-9.652794
0.000709,-0.0967,-9.669232
0.00071,-0.096858,-9.689405
0.000711,-0.097013,-9.701511
0.000712,-0.097163,-9.714326
0.000713,-0.09731,-9.728867
0.000714,-0.097453,-9.743217
0.000715,-0.097592,-9.75909
0.000716,-0.097727,-9.774371
0.000717,-0.097858,-9.787976
0.000718,-0.097986,-9.797861
0.000719,-0.098109,-9.810147
0.00072,-0.098229,-9.820298
0.000721,-0.098345,-9.832252
0.000722,-0.098456,-9.845908
0.000723,-0.098564,-9.858934
0.000724,-0.098669,-9.867498
0.000725,-0.098769,-9.876449
0.000726,-0.098865,-9.886922
0.000727,-0.098958,-9.896917
0.000728,-0.099046,-9.904108
0.000729,-0.099131,-9.914084
0.00073,-0.099211,-9.922403
0.000731,-0.099288,-9.928203
0.000732,-0.099361,-9.936917
0.000733,-0.09943,-9.94252
0.000734,-0.099495,-9.948964
0.000735,-0.099556,-9.957899
0.000736,-0.099613,-9.962299
0.000737,-0.099667,-9.963784
0.000738,-0.099716,-9.973913
0.000739,-0.099761,-9.980358
0.00074,-0.099803,-9.983991
0.000741,-0.09984,-9.983957
0.000742,-0.099874,-9.987308
0.000743,-0.099903,-9.990565
0.000744,-0.099929,-9.990466
0.000745,-0.099951,-10.000411
0.000746,-0.099968,-9.99605
0.000747,-0.099982,-9.995101
0.000748,-0.099992,-10.001466
0.000749,-0.099998,-10.000562
0.00075,-0.1,-10.001506
0.000751,-0.099998,-10.001591
0.000752,-0.099992,-9.999863
0.000753,-0.099982,-9.995369
0.000754,-0.099968,-9.993167
0.000755,-0.099951,-9.995737
0.000756,-0.099929,-9.989085
0.000757,-0.099903,-9.990258
0.000758,-0.099874,-9.983862
0.000759,-0.09984,-9.984202
0.00076,-0.099803,-9.980005
0.000761,-0.099761,-9.975394
0.000762,-0.099716,-9.965231
0.000763,-0.099667,-9.964957
0.000764,-0.099613,-9.962751
0.000765,-0.099556,-9.953682
0.000766,-0.099495,-9.950234
0.000767,-0.09943,-9.943987
0.000768,-0.099361,-9.934296
0.000769,-0.099288,-9.928764
0.00077,-0.099211,-9.92059
0.000771,-0.099131,-9.913048
0.000772,-0.099046,-9.903941
0.000773,-0.098958,-9.894911
0.000774,-0.098865,-9.890391
0.000775,-0.098769,-9.87555
0.000776,-0.098669,-9.868823
0.000777,-0.098564,-9.859331
0.000778,-0.098456,-9.84576
0.000779,-0.098345,-9.834284
0.00078,-0.098229,-9.82426
0.000781,-0.098109,-9.809243
0.000782,-0.097986,-9.801235
0.000783,-0.097858,-9.786623
0.000784,-0.097727,-9.773851
0.000785,-0.097592,-9.759261
0.000786,-0.097453,-9.744711
0.000787,-0.09731,-9.733001
0.000788,-0.097163,-9.714869
0.000789,-0.097013,-9.70114
0.00079,-0.096858,-9.689616
0.000791,-0.0967,-9.673932
0.000792,-0.096538,-9.653841
0.000793,-0.096372,-9.637679
0.000794,-0.096203,-9.620484
0.000795,-0.096029,-9.602993
0.000796,-0.095852,-9.584767
0.000797,-0.095671,-9.565225
0.000798,-0.095486,-9.550868
0.000799,-0.095298,-9.532137
0.0008,-0.095106,-9.512752
0.000801,-0.09491,-9.490384
0.000802,-0.09471,-9.468493
0.000803,-0.094506,-9.451493
0.000804,-0.094299,-9.434909
0.000805,-0.094088,-9.412216
0.000806,-0.093873,-9.389005
0.000807,-0.093655,-9.366614
0.000808,-0.093433,-9.344106
0.000809,-0.093207,-9.320634
0.00081,-0.092978,-9.298388
0.000811,-0.092745,-9.272353
0.000812,-0.092508,-9.252124
0.000813,-0.092267,-9.228452
0.000814,-0.092023,-9.201361
0.000815,-0.091775,-9.180618
0.000816,-0.091524,-9.151632
0.000817,-0.091269,-9.126711
0.000818,-0.091011,-9.101355
0.000819,-0.090748,-9.071668
0.00082,-0.090483,-9.049515
0.000821,-0.090213,-9.017219
0.000822,-0.089941,-8.994503
0.000823,-0.089664,-8.968964
0.000824,-0.089384,-8.938274
0.000825,-0.089101,-8.912218
0.000826,-0.088814,-8.882868
0.000827,-0.088523,-8.851519
0.000828,-0.088229,-8.821801
0.000829,-0.087932,-8.794407
0.00083,-0.087631,-8.761092
0.000831,-0.087326,-8.73031
0.000832,-0.087018,-8.698965
0.000833,-0.086707,-8.669648
0.000834,-0.086392,-8.636507
0.000835,-0.086074,-8.611182
0.000836,-0.085753,-8.575902
0.000837,-0.085428,-8.544508
0.000838,-0.085099,-8.509706
0.000839,-0.084768,-8.477922
0.00084,-0.084433,-8.443612
0.000841,-0.084094,-8.405681
0.000842,-0.083753,-8.37562
0.000843,-0.083408,-8.339957
0.000844,-0.08306,-8.306424
0.000845,-0.082708,-8.270654
0.000846,-0.082353,-8.235314
0.000847,-0.081995,-8.198624
0.000848,-0.081634,-8.161062
0.000849,-0.081269,-8.123647
0.00085,-0.080902,-8.089551
0.000851,-0.080531,-8.0519
0.000852,-0.080157,-8.017972
0.000853,-0.079779,-7.97812
0.000854,-0.079399,-7.938023
0.000855,-0.079016,-7.899818
0.000856,-0.078629,-7.862461
0.000857,-0.078239,-7.822135
0.000858,-0.077846,-7.783641
0.000859,-0.07745,-7.74263
0.00086,-0.077051,-7.704554
